frame,brightness,saturation,red_ratio,blue_ratio
frame_000.jpg,52.0,42.15,0.3571,0.0194
frame_001.jpg,53.53,47.04,0.3469,0.0239
frame_002.jpg,67.98,67.92,0.2422,0.306
frame_003.jpg,68.31,58.3,0.2667,0.2125
frame_004.jpg,53.23,66.69,0.331,0.0573
frame_005.jpg,52.68,67.85,0.327,0.1874
frame_006.jpg,54.73,66.63,0.3274,0.1924
frame_007.jpg,44.69,78.4,0.3932,0.1246
frame_008.jpg,19.73,171.98,0.2995,0.5387
frame_009.jpg,14.96,185.49,0.234,0.574
frame_010.jpg,12.7,138.71,0.2746,0.2295
frame_011.jpg,13.75,144.17,0.3175,0.1253
frame_012.jpg,68.59,56.61,0.3176,0.0546
frame_013.jpg,103.84,45.4,0.2676,0.0079
frame_014.jpg,14.66,155.2,0.3352,0.3976
frame_015.jpg,13.14,146.06,0.3273,0.3143
frame_016.jpg,132.73,51.55,0.2245,0.0057
frame_017.jpg,7.66,127.3,0.462,0.1415
frame_018.jpg,8.17,128.61,0.4562,0.1338
frame_019.jpg,8.68,128.74,0.4548,0.1327
frame_020.jpg,10.35,165.92,0.3055,0.0837
frame_021.jpg,95.55,53.18,0.2654,0.0437
frame_022.jpg,71.41,58.98,0.3185,0.0872
frame_023.jpg,75.67,61.98,0.3385,0.0122
